open time,0
1548471600000,-0.05159721487832791
1548475200000,-0.051638761042106074
1548478800000,-0.05156783919095975
1548482400000,-0.050096652558442756
1548486000000,-0.05998871017560603
1548489600000,-0.05998767431007512
1548493200000,-0.060037177686195875
1548496800000,-0.060069016985015544
1548500400000,-0.060045427662571704
1548504000000,-0.06005385949832065
1548507600000,-0.060076751895824954
1548511200000,-0.060211516961814704
1548514800000,-0.06097137407731923
1548518400000,-0.06097356245549568
1548522000000,-0.0609588906402212
1548525600000,-0.06098778475555067
1548529200000,-0.061002302104688155
1548532800000,-0.061003962707028014
1548536400000,-0.06092697250438861
1548540000000,-0.06112494393377044
1548543600000,-0.061208482509470974
1548547200000,-0.061280832087856174
1548550800000,-0.06128003857329434
1548554400000,-0.0612677468364764
1548558000000,-0.061416031985612074
1548561600000,-0.061255383364162475
1548565200000,-0.06129430453553342
1548568800000,-0.061305455340844306
1548572400000,-0.0612768274961355
1548576000000,-0.061642454025436555
1548579600000,-0.060969038165578526
1548583200000,-0.06129338145105456
1548586800000,-0.061457936785966005
1548590400000,-0.06148791585234048
1548594000000,-0.06146552617605372
1548597600000,-0.06168984204057337
1548601200000,-0.061778097106355734
1548604800000,-0.0617708374778283
1548608400000,-0.06184061621723247
1548612000000,-0.0618840516085335
1548615600000,-0.06183399848375437
1548619200000,-0.06196253534713958
1548622800000,-0.06200014745218119
1548626400000,-0.06211696341022743
1548630000000,-0.06210643598904331
1548633600000,-0.06203436974730869
1548637200000,-0.06132117678577509
1548640800000,-0.059995883990133336
1548644400000,-0.05916940934585946
1548648000000,-0.059021953239035474
1548651600000,-0.06358223852738121
1548655200000,-0.06353118395026414
1548658800000,-0.06400531133056342
1548662400000,-0.06510370885489314
1548666000000,-0.06616170569576929
1548669600000,-0.06604368019785722
1548673200000,-0.06596707501173915
1548676800000,-0.06605576442423056
1548680400000,-0.06613146974276063
1548684000000,-0.0661639021620597
1548687600000,-0.06568317780615063
1548691200000,-0.06596095765293053
1548694800000,-0.06585987281997219
1548698400000,-0.0658569849161954
1548702000000,-0.06583310541574128
1548705600000,-0.06591120128412031
1548709200000,-0.06591425617378643
1548712800000,-0.06595950508427473
1548716400000,-0.06596063083645176
1548720000000,-0.06618260890982186
1548723600000,-0.06629981777399463
1548727200000,-0.0665297992421352
1548730800000,-0.06631272425380241
1548734400000,-0.06624129086369313
1548738000000,-0.06655700415509713
1548741600000,-0.06704861243373705
1548745200000,-0.06954459495472798
1548748800000,-0.06853651731260868
1548752400000,-0.06869546683339767
1548756000000,-0.06874944200477562
1548759600000,-0.06884022126625378
1548763200000,-0.06830899054908612
1548766800000,-0.06747836399167895
1548770400000,-0.06722091493609339
1548774000000,-0.06745233992425526
1548777600000,-0.06736149215229936
1548781200000,-0.0673721876782134
1548784800000,-0.06733782869716931
1548788400000,-0.06747621326640152
1548792000000,-0.06753144273756018
1548795600000,-0.06771367819851326
1548799200000,-0.06775080591165095
1548802800000,-0.06796856273289076
1548806400000,-0.06859336120695869
1548810000000,-0.06831158125677828
1548813600000,-0.06807101013893813
1548817200000,-0.06786810804783294
1548820800000,-0.0675899817160146
1548824400000,-0.06801445439209908
1548828000000,-0.06828668297703544
1548831600000,-0.06820975488438297
1548835200000,-0.06832434110887653
1548838800000,-0.0684230372599588
1548842400000,-0.06862196928947317
1548846000000,-0.06912653026833837
1548849600000,-0.06902929894951915
1548853200000,-0.06915466371870216
1548856800000,-0.06912510921633164
1548860400000,-0.06920058618074987
1548864000000,-0.06928723069339293
1548867600000,-0.06921700742158898
1548871200000,-0.06942015087658704
1548874800000,-0.06936576940260952
1548878400000,-0.06938947722175426
1548882000000,-0.06926516680270645
1548885600000,-0.06953678301357669
1548889200000,-0.0699723770427445
1548892800000,-0.0711079086998827
1548896400000,-0.07117003836978464
1548900000000,-0.07118674249767665
1548903600000,-0.07119504741101923
1548907200000,-0.07119805973648119
1548910800000,-0.07113076626753978
1548914400000,-0.07104809136125723
1548918000000,-0.07178920722753013
1548921600000,-0.07254095487017209
1548925200000,-0.07313696200773578
1548928800000,-0.07386598329635707
1548932400000,-0.0738588006049643
1548936000000,-0.07368556540842586
1548939600000,-0.07392337321696396
1548943200000,-0.07412813999798717
1548946800000,-0.07434756838864764
1548950400000,-0.07437751866233477
1548954000000,-0.07442792116627373
1548957600000,-0.07442151737696179
1548961200000,-0.074047254445055
1548964800000,-0.07427470068074982
1548968400000,-0.07432557427396702
1548972000000,-0.07455595075809951
1548975600000,-0.0744408888805046
1548979200000,-0.07428618233360829
1548982800000,-0.07480057875687862
1548986400000,-0.07484843398361352
1548990000000,-0.07489201899434139
1548993600000,-0.07490270140720101
1548997200000,-0.0747818439864365
1549000800000,-0.0750194807007667
1549004400000,-0.07548850950730235
1549008000000,-0.075887520335433
1549011600000,-0.07599433589240934
1549015200000,-0.07543058680928838
1549018800000,-0.07524533264325695
1549022400000,-0.07515755905890553
1549026000000,-0.07526354737290042
1549029600000,-0.07528659186812603
1549033200000,-0.07527576986986606
1549036800000,-0.07529278454259947
1549040400000,-0.0751187757065026
1549044000000,-0.07504370910706282
1549047600000,-0.07502242485469024
1549051200000,-0.07494756191538787
1549054800000,-0.075127830930382
1549058400000,-0.07505327862514055
1549062000000,-0.0750336313355291
1549065600000,-0.07506173478883205
1549069200000,-0.0750350643990747
1549072800000,-0.0750568064204038
1549076400000,-0.07510638653423851
1549080000000,-0.07506547067244829
1549083600000,-0.07496794999796452
1549087200000,-0.07505920255859122
1549090800000,-0.07512168212231574
1549094400000,-0.0750904173313569
1549098000000,-0.07510732093348471
1549101600000,-0.07502653948506377
1549105200000,-0.07586609847763848
1549108800000,-0.07584621102535394
1549112400000,-0.07586800835353369
1549116000000,-0.07594101152526367
1549119600000,-0.07600384382282788
1549123200000,-0.07594965814367582
1549126800000,-0.07590356991369696
1549130400000,-0.07589111996160924
1549134000000,-0.07598945738333862
1549137600000,-0.07607539850458411
1549141200000,-0.07608004944412339
1549144800000,-0.07569157876857724
1549148400000,-0.0808714848897174
1549152000000,-0.08087261930726886
1549155600000,-0.08083526397730623
1549159200000,-0.0808454506674916
1549162800000,-0.08091862042374487
1549166400000,-0.0809448187607602
1549170000000,-0.08111407216331523
1549173600000,-0.08096014508305194
1549177200000,-0.08087448534795949
1549180800000,-0.08084950011435588
1549184400000,-0.08088666850966097
1549188000000,-0.08106223745088625
1549191600000,-0.08109671854515033
1549195200000,-0.08105497055501498
1549198800000,-0.08129094112639468
1549202400000,-0.0813826772472348
1549206000000,-0.08131509291618433
1549209600000,-0.08152323654826366
1549213200000,-0.08160969239697646
1549216800000,-0.08222172680841155
1549220400000,-0.08199333850434343
1549224000000,-0.08201954083692642
1549227600000,-0.0825352941267643
1549231200000,-0.08219134900064828
1549234800000,-0.08203668091838479
1549238400000,-0.08190551029233628
1549242000000,-0.08220935607692836
1549245600000,-0.08230683662759075
1549249200000,-0.08228013446277638
1549252800000,-0.08236468879199799
1549256400000,-0.08238386318370794
1549260000000,-0.08235383690291154
1549263600000,-0.08237811177972287
1549267200000,-0.08235450721297632
1549270800000,-0.08252688080969062
1549274400000,-0.08276976189657814
1549278000000,-0.08391600876836591
1549281600000,-0.08402404319558276
1549285200000,-0.08408707682749239
1549288800000,-0.08406885085903637
1549292400000,-0.084116995463273
1549296000000,-0.08411313614888538
1549299600000,-0.08408542154129384
1549303200000,-0.08407639364616837
1549306800000,-0.0841527481370854
1549310400000,-0.08426891154319693
1549314000000,-0.0845696266500311
1549317600000,-0.08472802854107497
1549321200000,-0.08475627363092442
1549324800000,-0.08484381058861667
1549328400000,-0.08499610245097533
1549332000000,-0.084931421230235
1549335600000,-0.08482181931584387
1549339200000,-0.084867781821101
1549342800000,-0.0848865610273255
1549346400000,-0.08489306136175667
1549350000000,-0.08488318100207204
1549353600000,-0.08475934302656984
1549357200000,-0.08505731644153447
1549360800000,-0.08508943978130623
1549364400000,-0.08513305990556685
1549368000000,-0.08518887602263003
1549371600000,-0.0853777594996481
1549375200000,-0.0856067924576025
1549378800000,-0.08568025185929873
1549382400000,-0.0857233698525135
1549386000000,-0.08572756089895583
1549389600000,-0.08569274005643424
1549393200000,-0.08578521774735592
1549396800000,-0.08582152231858786
1549400400000,-0.08581529367303609
1549404000000,-0.08570561278906186
1549407600000,-0.08612386688125473
1549411200000,-0.08359855934605931
1549414800000,-0.08671133518892038
1549418400000,-0.08715299312072378
1549422000000,-0.08732290572471557
1549425600000,-0.08750558095880634
1549429200000,-0.08755255011955021
