etime,close
2012/8/10,3712
2012/8/13,3711
2012/8/14,3671
2012/8/15,3666
2012/8/16,3664
2012/8/17,3632
2012/8/20,3612
2012/8/21,3590
2012/8/22,3583
2012/8/23,3541
2012/8/24,3516
2012/8/27,3512
2012/8/28,3474
2012/8/29,3400
2012/8/30,3421
2012/8/31,3416
2012/9/3,3369
2012/9/4,3303
2012/9/5,3252
2012/9/6,3244
2012/9/7,3346
2012/9/10,3452
2012/9/11,3461
2012/9/12,3466
2012/9/13,3458
2012/9/14,3552
2012/9/17,3542
2012/9/18,3570
2012/9/19,3607
2012/9/20,3550
2012/9/21,3469
2012/9/24,3502
2012/9/25,3558
2012/9/26,3536
2012/9/27,3550
2012/9/28,3575
2012/10/8,3647
2012/10/9,3663
2012/10/10,3677
2012/10/11,3643
2012/10/12,3647
2012/10/15,3594
2012/10/16,3589
2012/10/17,3627
2012/10/18,3649
2012/10/19,3634
2012/10/22,3657
2012/10/23,3703
2012/10/24,3674
2012/10/25,3668
2012/10/26,3677
2012/10/29,3648
2012/10/30,3625
2012/10/31,3611
2012/11/1,3662
2012/11/2,3673
2012/11/5,3643
2012/11/6,3638
2012/11/7,3638
2012/11/8,3621
2012/11/9,3651
2012/11/12,3649
2012/11/13,3652
2012/11/14,3640
2012/11/15,3649
2012/11/16,3647
2012/11/19,3571
2012/11/20,3552
2012/11/21,3564
2012/11/22,3556
2012/11/23,3566
2012/11/26,3557
2012/11/27,3537
2012/11/28,3531
2012/11/29,3498
2012/11/30,3479
2012/12/3,3538
2012/12/4,3551
2012/12/5,3602
2012/12/6,3610
2012/12/7,3629
2012/12/10,3682
2012/12/11,3672
2012/12/12,3683
2012/12/13,3682
2012/12/14,3743
2012/12/17,3803
2012/12/18,3814
2012/12/19,3810
2012/12/20,3789
2012/12/21,3793
2012/12/24,3783
2012/12/25,3846
2012/12/26,3872
2012/12/27,3898
2012/12/28,3894
2012/12/31,3958
2013/1/4,3990
2013/1/7,4015
2013/1/8,3998
2013/1/9,3990
2013/1/10,4012
2013/1/11,3966
2013/1/14,3972
2013/1/15,3988
2013/1/16,3935
2013/1/17,3925
2013/1/18,3970
2013/1/21,3990
2013/1/22,3968
2013/1/23,4006
2013/1/24,4036
2013/1/25,4060
2013/1/28,4069
2013/1/29,4061
2013/1/30,4109
2013/1/31,4114
2013/2/1,4136
2013/2/4,4201
2013/2/5,4171
2013/2/6,4118
2013/2/7,4105
2013/2/8,4128
2013/2/18,4208
2013/2/19,4191
2013/2/20,4180
2013/2/21,4095
2013/2/22,4067
2013/2/25,4026
2013/2/26,3994
2013/2/27,3982
2013/2/28,4032
2013/3/1,4006
2013/3/4,3926
2013/3/5,3921
2013/3/6,3941
2013/3/7,3934
2013/3/8,3927
2013/3/11,3906
2013/3/12,3897
2013/3/13,3854
2013/3/14,3774
2013/3/15,3832
2013/3/18,3830
2013/3/19,3832
2013/3/20,3859
2013/3/21,3903
2013/3/22,3892
2013/3/25,3907
2013/3/26,3893
2013/3/27,3898
2013/3/28,3850
2013/3/29,3813
2013/4/1,3747
2013/4/2,3738
2013/4/3,3790
2013/4/8,3806
2013/4/9,3844
2013/4/10,3841
2013/4/11,3860
2013/4/12,3830
2013/4/15,3758
2013/4/16,3720
2013/4/17,3720
2013/4/18,3643
2013/4/19,3669
2013/4/22,3671
2013/4/23,3616
2013/4/24,3617
2013/4/25,3646
2013/4/26,3636
2013/5/2,3546
2013/5/3,3579
2013/5/6,3625
2013/5/7,3627
2013/5/8,3646
2013/5/9,3631
2013/5/10,3616
2013/5/13,3654
2013/5/14,3639
2013/5/15,3595
2013/5/16,3555
2013/5/17,3578
2013/5/20,3619
2013/5/21,3595
2013/5/22,3593
2013/5/23,3567
2013/5/24,3570
2013/5/27,3515
2013/5/28,3491
2013/5/29,3474
2013/5/30,3439
2013/5/31,3431
2013/6/3,3459
2013/6/4,3473
2013/6/5,3477
2013/6/6,3434
2013/6/7,3409
2013/6/13,3423
2013/6/14,3411
2013/6/17,3483
2013/6/18,3483
2013/6/19,3498
2013/6/20,3483
2013/6/21,3493
2013/6/24,3468
2013/6/25,3442
2013/6/26,3435
2013/6/27,3459
2013/6/28,3481
2013/7/1,3481
2013/7/2,3499
2013/7/3,3592
2013/7/4,3617
2013/7/5,3625
2013/7/8,3595
2013/7/9,3606
2013/7/10,3614
2013/7/11,3659
2013/7/12,3655
2013/7/15,3675
2013/7/16,3670
2013/7/17,3686
2013/7/18,3671
2013/7/19,3696
2013/7/22,3676
2013/7/23,3685
2013/7/24,3693
2013/7/25,3691
2013/7/26,3671
2013/7/29,3641
2013/7/30,3639
2013/7/31,3641
2013/8/1,3649
2013/8/2,3668
2013/8/5,3682
2013/8/6,3682
2013/8/7,3704
2013/8/8,3736
2013/8/9,3739
2013/8/12,3781
2013/8/13,3822
2013/8/14,3828
2013/8/15,3823
2013/8/16,3813
2013/8/19,3814
2013/8/20,3811
2013/8/21,3797
2013/8/22,3777
2013/8/23,3803
2013/8/26,3822
2013/8/27,3802
2013/8/28,3806
2013/8/29,3757
2013/8/30,3754
2013/9/2,3782
2013/9/3,3764
2013/9/4,3743
2013/9/5,3735
2013/9/6,3720
2013/9/9,3751
2013/9/10,3736
2013/9/11,3726
2013/9/12,3719
2013/9/13,3676
2013/9/16,3649
2013/9/17,3646
2013/9/18,3631
2013/9/23,3637
2013/9/24,3642
2013/9/25,3625
2013/9/26,3616
2013/9/27,3586
2013/9/30,3588
2013/10/8,3563
2013/10/9,3599
2013/10/10,3596
2013/10/11,3607
2013/10/14,3612
2013/10/15,3613
2013/10/16,3582
2013/10/17,3570
2013/10/18,3561
2013/10/21,3566
2013/10/22,3562
2013/10/23,3554
2013/10/24,3525
2013/10/25,3510
2013/10/28,3489
2013/10/29,3484
2013/10/30,3500
2013/10/31,3637
2013/11/1,3665
2013/11/4,3673
2013/11/5,3670
2013/11/6,3655
2013/11/7,3668
2013/11/8,3671
2013/11/11,3656
2013/11/12,3669
2013/11/13,3663
2013/11/14,3629
2013/11/15,3614
2013/11/18,3595
2013/11/19,3604
2013/11/20,3637
2013/11/21,3623
2013/11/22,3621
2013/11/25,3628
2013/11/26,3657
2013/11/27,3654
2013/11/28,3667
2013/11/29,3670
2013/12/2,3686
2013/12/3,3697
2013/12/4,3718
2013/12/5,3704
2013/12/6,3690
2013/12/9,3717
2013/12/10,3719
2013/12/11,3716
2013/12/12,3734
2013/12/13,3689
2013/12/16,3679
2013/12/17,3676
2013/12/18,3653
2013/12/19,3657
2013/12/20,3650
2013/12/23,3615
2013/12/24,3623
2013/12/25,3611
2013/12/26,3598
2013/12/27,3609
2013/12/30,3602
2013/12/31,3575
2014/1/2,3582
2014/1/3,3550
2014/1/6,3526
2014/1/7,3480
2014/1/8,3463
2014/1/9,3472
2014/1/10,3471
2014/1/13,3469
2014/1/14,3481
2014/1/15,3493
2014/1/16,3490
2014/1/17,3463
2014/1/20,3461
2014/1/21,3421
2014/1/22,3420
2014/1/23,3438
2014/1/24,3467
2014/1/27,3467
2014/1/28,3445
2014/1/29,3439
2014/1/30,3447
2014/2/7,3418
2014/2/10,3405
2014/2/11,3407
2014/2/12,3392
2014/2/13,3398
2014/2/14,3408
2014/2/17,3438
2014/2/18,3439
2014/2/19,3436
2014/2/20,3404
2014/2/21,3393
2014/2/24,3336
2014/2/25,3320
