timestamp,earth_gouzhifee_yoy,estate_invest_yoy,fdckftzwce_bangonglou_yoy,fwsgmj_bangonglou_accumyoy
2017-07-31,16.1,7.9,4.7,3.3
2017-08-31,18,7.9,4.8,3
2017-09-30,20.1,8.1,5.4,2.5
2017-10-31,20.1,7.8,5.2,2.6
2017-11-30,21.9,7.5,3.9,2.6
2017-12-31,23.4,7,3.5,2.8
2018-01-31,,,,
2018-02-28,47.9,9.9,-0.2,0.5
2018-03-31,67.8,10.4,-0.1,0.3
2018-04-30,66.9,10.3,-5.1,-0.3
2018-05-31,69.3,10.2,-7.8,-0.7
2018-06-30,74.4,9.7,-10.3,-0.6
2018-07-31,72.3,10.2,-9.9,-1
2018-08-31,66.9,10.1,-10.4,-1.1
2018-09-30,66,9.9,-11.4,-0.6
2018-10-31,63.4,9.7,-12,-0.4
2018-11-30,60.5,9.7,-12,-0.2
2018-12-31,57,9.5,-11.3,-0.5
2019-01-31,,,,
2019-02-28,34.5,11.6,2.5,0.8
2019-03-31,32.6,11.8,-2.6,1.4
2019-04-30,29.7,11.9,-2.4,2.5
2019-05-31,27.2,11.2,-3.6,2.6
2019-06-30,24.2,10.9,-0.7,3.3
2019-07-31,22,10.6,-0.2,4.3
2019-08-31,21.9,10.5,0.6,4.2
2019-09-30,19.6,10.5,0.8,3.5
2019-10-31,18.4,10.3,1.6,4.1
2019-11-30,17,10.2,2.5,4
2019-12-31,14.5,9.9,2.8,3.9
2020-01-31,,,,
2020-02-29,-9.3,-16.3,-17.8,-3.2
2020-03-31,1,-7.7,-10.8,-2.5
2020-04-30,4.1,-3.3,-4.8,-2.2
2020-05-31,5.4,-0.3,-1.2,-1.6
2020-06-30,6.2,1.9,-3.1,-2.3
2020-07-31,8.5,3.4,-2.1,-1.4
2020-08-31,8.2,4.6,-1,-1.1
2020-09-30,8.4,5.6,0.5,-0.7
2020-10-31,8.6,6.3,3.5,-1.3
2020-11-30,8.1,6.8,4.2,-1.3
2020-12-31,6.7,7,5.4,-0.5
2021-01-31,,,,
2021-02-28,16.4,38.3,22.8,7.3
2021-03-31,11.4,25.6,14.9,6.1
2021-04-30,14.2,21.6,10.8,4.6
2021-05-31,14.4,18.3,6.2,3.4
2021-06-30,6.3,15,6.7,4.4
2021-07-31,4,12.7,3.7,2.6
